"adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Platform_ORF","GO.Function","GO.Process","GO.Component","Chromosome.annotation"
0.999975947221547,0.0859294607001236,-1.97477527782401,-4.58118305910188,-3.17487172844034,"yigC///ECs4771","3-octaprenyl-4-hydroxybenzoate carboxy-lyase///3-octaprenyl-4-hydroxybenzoate decarboxylase","Z5364","","","","NC_002655.2 (4890061..4891554)///NC_002695.1 (4821297..4822790)"
0.999975947221547,0.0867875733009713,-1.96821515722723,-4.58127653969223,-3.99533148831598,"Z1097///ECs0949","hypothetical protein///hypothetical protein","Z1097","","","","NC_002655.2 (1035348..1036589)///NC_002695.1 (1033688..1035494)"
0.999975947221547,0.0871127861155911,-1.96574543204736,-4.58131176130141,-1.5144785982223,"cspB///cspB","cold shock-like protein cspB///Qin prophage; cold shock protein","b1557","","","","NC_004431.1 (3052133..3052348, complement)///NC_000913.3 (1641339..1641554, complement)"
0.999975947221547,0.0907649264028472,-1.93860917920136,-4.58169976201617,-1.48059116555207,"csrC///Z5401","ncRNA///hypothetical protein","Z5401","","","","NC_000913.3 (4051036..4051280)///NC_002655.2 (4915779..4915856)"
0.999975947221547,0.0911592669577968,-1.93574273803049,-4.58174085193656,-1.46015718130427,"caiB","crotonobetainyl-CoA:carnitine CoA-transferase","c0047","","","","NC_004431.1 (40556..41773, complement)"
0.999975947221547,0.0918541705831145,-1.93072061751996,-4.58181289025967,-1.91912934233773,"c1141","hypothetical protein","c1141","","","","NC_004431.1 (1101781..1101939)"
0.999975947221547,0.0938037382896568,-1.91682472162054,-4.58201252357688,-2.31373375708558,"fdrA///ECs0580","membrane protein FdrA///acyl-CoA synthetase FdrA","Z0673","","","","NC_002655.2 (638882..640549)///NC_002695.1 (639188..640855)"
0.999975947221547,0.100395216714569,1.87182304071827,-4.58266198505939,2.98886019562984,"ampC///ampC","beta-lactamase///beta-lactamase","Z5757","","","","NC_002655.2 (5262076..5263209, complement)///NC_002695.1 (5232091..5233224, complement)"
0.999975947221547,0.101715082452102,-1.86315456124085,-4.58278757710459,-3.13389368396844,"Z3496///ECs3123","hypothetical protein///hypothetical protein","Z3496","","","","NC_002655.2 (3149282..3150352)///NC_002695.1 (3078013..3079083)"
0.999975947221547,0.10417283949218,-1.84729636663384,-4.5830177193331,-4.05760146952333,"Z4170","hypothetical protein","Z4170","","","","NC_002655.2 (3780201..3780437, complement)"
0.999975947221547,0.106173585097731,-1.83464920874793,-4.58320160307613,-1.20401221359374,"sbcD///sbcD///ECs0448","exonuclease SbcD///exonuclease, dsDNA, ATP-dependent///exonuclease SbcD","b0398","","DNA catabolic process","cytoplasm","NC_002655.2 (477733..478935, complement)///NC_000913.3 (415750..416952, complement)///NC_002695.1 (477731..478933, complement)"
0.999975947221547,0.106232001965124,1.83428337603563,-4.5832069264862,0.770414432235681,"kil///kilR///kil","FtsZ inhibitor protein///killing protein, Rac prophage; FtsZ inhibitor protein///FtsZ inhibitor protein","b1352","","","","NC_002655.2 (2159454..2159687)///NC_000913.3 (1418008..1418229, complement)///NC_002695.1 (1927479..1927712, complement)"
0.999975947221547,0.108162072678,-1.82230316982691,-4.58338138841681,-1.43720088173615,"ycdZ///ycdZ///ycdZ///ECs1413","hypothetical protein///hypothetical protein///DUF1097 family inner membrane protein///hypothetical protein","b1036","","","","NC_004431.1 (1243746..1244285)///NC_002655.2 (1544473..1545012)///NC_000913.3 (1100296..1100787)///NC_002695.1 (1459406..1459927)"
0.999975947221547,0.108989463303918,-1.81722978825996,-4.58345534532738,-1.55252890590023,"yegK","ser/thr phosphatase-related protein","b2072","","","","NC_000913.3 (2151711..2152472, complement)"
0.999975947221547,0.109938840355046,-1.81145343826023,-4.58353960306567,-4.41294646090531,"ECs2227","hypothetical protein","ECs2227","","","","NC_002695.1 (2210140..2210487, complement)"
0.999975947221547,0.11001465935266,-1.81099417922542,-4.58354630453129,-5.21008144257169,"gnsB","Qin prophage; multicopy suppressor of secG(Cs) and fabA6(Ts)","b1550","","","","NC_000913.3 (1637609..1637782, complement)"
0.999975947221547,0.11247847461688,-1.79623166866551,-4.58376190128264,-1.81654035338891,"Z4034","hypothetical protein","Z4034","","","","NC_002655.2 (3641451..3641588, complement)"
0.999975947221547,0.116565800373402,-1.77240580133927,-4.58411057435116,-1.08559394766647,"c1158","hypothetical protein","c1158","","","","NC_004431.1 (1117958..1118092, complement)"
0.999975947221547,0.122752151187284,-1.73780708261326,-4.58461829937436,-1.03880474868267,"yecS///yecS///yecS///ECs2656","amino-acid ABC transporter permease YecS///transport system permease///ABC family putative inner membrane permease///transport system permease","b1918","","","organelle inner membrane///peptidoglycan-based cell wall","NC_004431.1 (2146487..2147155, complement)///NC_002655.2 (2695293..2695961, complement)///NC_000913.3 (1997811..1998479, complement)///NC_002695.1 (2620082..2620750, complement)"
0.999975947221547,0.126123340126994,-1.7196387024931,-4.5848854930996,-1.33322581055532,"maeB","malic enzyme: putative oxidoreductase/phosphotransacetylase","b2463","","","","NC_000913.3 (2576098..2578377, complement)"
0.999975947221547,0.127148535027799,-1.71420404102534,-4.58496548656711,-1.80543463457964,"c3878///yhaB///yhaB///ECs4000","hypothetical protein///hypothetical protein///uncharacterized protein///hypothetical protein","c3878","","","","NC_004431.1 (3707204..3707332)///NC_002655.2 (4074678..4075238)///NC_000913.3 (3267854..3268393)///NC_002695.1 (4007462..4008022)"
0.999975947221547,0.128327820730022,-1.70800313314551,-4.58505679439882,-1.47106802278518,"yjjQ///yjjQ///yjjQ///ECs5325","hypothetical protein///regulator///putative transcriptional regulator///regulator","b4365","","","","NC_004431.1 (5192466..5193191)///NC_002655.2 (5491831..5492556)///NC_000913.3 (4603477..4604202)///NC_002695.1 (5461837..5462562)"
0.999975947221547,0.12908234399085,1.70406366275307,-4.58511482185673,0.78003119795213,"yahF///yahF///ECs0369","oxidoreductase subunit///putative NAD(P)-binding succinyl-CoA synthase///oxidoreductase subunit","b0320","","","","NC_002655.2 (388277..389824)///NC_000913.3 (336778..338325)///NC_002695.1 (388275..389822)"
0.999975947221547,0.129801624637236,-1.70032822547742,-4.58516985716421,-1.41163312799906,"cdh","CDP-diacylglycerol pyrophosphatase","c4870","","","","NC_004431.1 (4629396..4630343)"
0.999975947221547,0.131161067824802,-1.69332083021561,-4.58527313249309,-0.947242083762344,"yfaQ///Z3480///yfaQ///ECs3110","hypothetical protein///hypothetical protein///tandem DUF2300 domain protein, putative host defense protein///hypothetical protein","Z3480","","","","NC_004431.1 (2615001..2616650, complement)///NC_002655.2 (3126043..3126837, complement)///NC_000913.3 (2328148..2329797, complement)///NC_002695.1 (3054774..3055568, complement)"
0.999975947221547,0.132123791831081,-1.6883993189402,-4.58534569076123,-0.837568074265358,"c3012///Z3758///yfgD///ECs3357","hypothetical protein///oxidoreductase///putative oxidoreductase///oxidoreductase","b2495","","xenobiotic metabolic process","","NC_004431.1 (2874542..2874901)///NC_002655.2 (3403557..3403916)///NC_000913.3 (2617578..2617937)///NC_002695.1 (3333721..3334080)"
0.999975947221547,0.1322360737033,1.68782750953351,-4.5853541222737,0.881665881932269,"mtlD///mtlD","mannitol-1-phosphate 5-dehydrogenase///mannitol-1-phosphate dehydrogenase, NAD-dependent","b3600","","carbohydrate catabolic process","","NC_004431.1 (4201917..4203245)///NC_000913.3 (3774424..3775572)"
0.999975947221547,0.132925792647894,1.6843249443754,-4.58540577435237,1.36969414458572,"zwf///zwf///zwf///ECs2562","glucose-6-phosphate 1-dehydrogenase///glucose-6-phosphate 1-dehydrogenase///glucose-6-phosphate 1-dehydrogenase///glucose-6-phosphate 1-dehydrogenase","b1852","","carbohydrate catabolic process///pentose-phosphate shunt, oxidative branch","cytoplasm","NC_004431.1 (2086516..2087991, complement)///NC_002655.2 (2611878..2613353, complement)///NC_000913.3 (1934839..1936314, complement)///NC_002695.1 (2536670..2538145, complement)"
0.999975947221547,0.134671304075642,-1.67553600060818,-4.58553542514996,-1.2790132534298,"ssuE","NAD(P)H-dependent FMN reductase","b0937","electron carrier activity","response to starvation///sulfur compound metabolic process","","NC_000913.3 (996937..997512, complement)"
0.999975947221547,0.134761790937008,-1.67508328540121,-4.58554210492781,-1.21465670098902,"c0446","hypothetical protein","c0446","","","","NC_004431.1 (433226..433381, complement)"
0.999975947221547,0.135356361545808,-1.67211561260198,-4.5855858962214,-1.39118277425856,"yhjG///yhjG","hypothetical protein///putative inner membrane-anchored periplasmic AsmA family protein","b3524","","","","NC_004431.1 (4115014..4117089, complement)///NC_000913.3 (3676290..3678350, complement)"
0.999975947221547,0.136607745675099,-1.66590905436308,-4.58567749982743,-1.25094205274921,"ycaL///ycaL///ECs0992","heat shock protein///putative peptidase-related chaperone///heat shock protein","b0909","","response to temperature stimulus","","NC_002655.2 (1179106..1179894)///NC_000913.3 (960264..961028)///NC_002695.1 (1089883..1090671)"
0.999975947221547,0.137125742559956,-1.66335538848911,-4.5857151969087,-1.14095496648025,"cusX///cusF","periplasmic copper-binding protein///periplasmic copper- and silver-binding protein","c0659","","","","NC_004431.1 (640627..640959)///NC_000913.3 (597131..597463)"
0.999975947221547,0.137334208331062,-1.66233020714526,-4.58573033170033,-1.18889213061786,"c5233","hypothetical protein","c5233","","","","NC_004431.1 (4984468..4985022, complement)"
0.999975947221547,0.137764739601238,1.66021753631882,-4.58576152311201,1.08089033128367,"mbhA///mbhA///lafU///ECs0256","hypothetical protein///hypothetical protein///pseudo///hypothetical protein","b0230","","taxis","","NC_004431.1 (358027..358815)///NC_002655.2 (287929..288714)///NC_000913.3 (250072..250827)///NC_002695.1 (287928..288713)"
0.999975947221547,0.140380664954694,-1.64751119307619,-4.58594917119475,-1.61737447640119,"hyfH///hyfH///ECs3350","hydrogenase 4 subunit H///hydrogenase 4, Fe-S subunit///hydrogenase 4 subunit H","b2488","","anaerobic respiration","","NC_002655.2 (3396141..3396686)///NC_000913.3 (2610164..2610709)///NC_002695.1 (3326307..3326852)"
0.999975947221547,0.141607305453112,-1.64162851536051,-4.58603607409944,-1.68045401323507,"c5390","hypothetical protein","c5390","","","","NC_004431.1 (5135022..5135429, complement)"
0.999975947221547,0.142300914754964,-1.63832299402362,-4.58608491213936,-1.4384917258044,"ompA///ompA///ECs1041","outer membrane protein OmpA///outer membrane protein A (3a;II*;G;d)///outer membrane protein A","b0957","","","cell outer membrane///peptidoglycan-based cell wall","NC_002655.2 (1237707..1238747, complement)///NC_000913.3 (1019013..1020053, complement)///NC_002695.1 (1148484..1149524, complement)"
0.999975947221547,0.142408247982036,-1.63781281161037,-4.58609245032391,-1.40616513636771,"yedU///yedU///hchA///ECs2705","chaperone protein HchA///chaperone protein HchA///glyoxalase III and Hsp31 molecular chaperone///chaperone protein HchA","b1967","","","","NC_004431.1 (2187473..2188324)///NC_002655.2 (2735588..2736439)///NC_000913.3 (2035835..2036686)///NC_002695.1 (2660374..2661225)"
0.999975947221547,0.142683332516634,-1.63650688762642,-4.58611174643369,-2.79780647192615,"c1487","hypothetical protein","c1487","","","","NC_004431.1 (1379766..1381052)"
0.999975947221547,0.142897600626549,-1.6354912943832,-4.58612675312421,-0.888215882060119,"glnE///glnE","bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase///fused deadenylyltransferase/adenylyltransferase for glutamine synthetase","b3053","","cellular protein modification process///nitrogen compound metabolic process","","NC_004431.1 (3635654..3638494, complement)///NC_000913.3 (3196801..3199641, complement)"
0.999975947221547,0.147309143866544,-1.61488820902633,-4.58643126248972,-0.854336240425331,"msrA///msrA///msrA///ECs5197","methionine sulfoxide reductase A///methionine sulfoxide reductase A///methionine sulfoxide reductase A///methionine sulfoxide reductase A","b4219","","protein folding","","NC_004431.1 (5057435..5058139, complement)///NC_002655.2 (5327004..5327642, complement)///NC_000913.3 (4441538..4442176, complement)///NC_002695.1 (5297018..5297656, complement)"
0.999975947221547,0.148016901788838,1.61163592390093,-4.58647934050762,1.01683907704241,"ybbY///ybbY///ybbY///ECs0575","purine permease YbbY///purine permease YbbY///putative uracil/xanthine transporter///purine permease YbbY","b0513","","","","NC_004431.1 (609360..610667)///NC_002655.2 (632761..634068)///NC_000913.3 (540565..541866)///NC_002695.1 (633073..634374)"
0.999975947221547,0.149550431485534,-1.60463792146037,-4.58658279691083,-1.13563693419214,"ECs3934","hypothetical protein","ECs3934","","","","NC_002695.1 (3934389..3934781)"
0.999975947221547,0.150756947345447,1.59917845399544,-4.58666351226338,0.909543137603551,"c0827///ybgR///zitB///ECs0780","hypothetical protein///zinc transporter ZitB///zinc efflux system///zinc transporter ZitB","c0827","","","organelle inner membrane///peptidoglycan-based cell wall","NC_004431.1 (806003..806401, complement)///NC_002655.2 (869400..870335, complement)///NC_000913.3 (783882..784823, complement)///NC_002695.1 (867746..868687, complement)"
0.999975947221547,0.150784726304324,-1.59905322838546,-4.58666536368861,-0.866531830190478,"fecI","RNA polymerase sigma-19 factor, fec operon-specific; ECF sigma factor","b4293","","","cytoplasm","NC_000913.3 (4517714..4518235, complement)"
0.999975947221547,0.150853302705473,1.59874418151803,-4.58666993286385,1.1742207400515,"yehT///yehT///yehT///ECs2936","two-component response-regulatory protein YehT///two-component response-regulatory protein YehT///putative response regulator in two-component system withYehU///two-component response-regulatory protein YehT","b2125","","","","NC_004431.1 (2503950..2504684, complement)///NC_002655.2 (2963466..2964200, complement)///NC_000913.3 (2212243..2212962, complement)///NC_002695.1 (2893235..2893954, complement)"
0.999975947221547,0.150858549875054,-1.59872053990723,-4.58667028239901,-1.14965014673447,"ydiR///ydiR///ydiR///ECs2405","electron transfer flavoprotein subunit YdiR///electron transfer flavoprotein subunit YdiR///putative electron transfer flavoprotein, FAD-binding subunit///electron transfer flavoprotein subunit YdiR","b1698","electron carrier activity","","","NC_004431.1 (1936370..1937308)///NC_002655.2 (2455316..2456254)///NC_000913.3 (1780401..1781339)///NC_002695.1 (2380115..2381053)"
0.999975947221547,0.151071438550218,-1.59776198696585,-4.58668445438945,-1.244353022624,"sbcB///sbcB///sbcB///sbcB","exonuclease I///exonuclease I///exodeoxyribonuclease I; exonuclease I///exonuclease I","b2011","","DNA catabolic process","","NC_004431.1 (2372260..2373687)///NC_002655.2 (2825476..2826903)///NC_000913.3 (2082756..2084183)///NC_002695.1 (2755263..2756690)"
0.999975947221547,0.151816527509712,1.59441689334274,-4.58673391122797,1.1757509029123,"ybaM///ybaM","hypothetical protein///DUF2496 family protein","b0466","","","","NC_004431.1 (564760..564921, complement)///NC_000913.3 (490110..490271, complement)"
0.999975947221547,0.15306674143744,-1.58883775187747,-4.5868163988117,-1.22138265760339,"arcA///arcA///arcA///ECs5359","two-component response regulator///two-component response regulator///response regulator in two-component regulatory system with ArcB or CpxA///two-component response regulator","b4401","","","cytoplasm","NC_004431.1 (5229366..5230082, complement)///NC_002655.2 (5526383..5527099, complement)///NC_000913.3 (4639590..4640306, complement)///NC_002695.1 (5496388..5497104, complement)"
0.999975947221547,0.15381976913401,-1.58549747133408,-4.58686578466902,-1.37409650431771,"yjbK///zur///ECs5029","zinc uptake transcriptional repressor///transcriptional repressor, Zn(II)-binding///zinc uptake transcriptional repressor","ECs5029","","","cytoplasm","NC_002655.2 (5142656..5143171, complement)///NC_000913.3 (4259488..4260003, complement)///NC_002695.1 (5112670..5113185, complement)"
0.999975947221547,0.155743883455448,1.57703007733089,-4.58699097146008,2.66345902136852,"Z2076","hypothetical protein","Z2076","","","","NC_002655.2 (1873441..1873593)"
0.999975947221547,0.155772446821508,1.5769051025347,-4.58699281910617,1.32818684030277,"ylbB///allC","allantoate amidohydrolase///allantoate amidohydrolase","b0516","","allantoin assimilation pathway///nitrogen compound metabolic process","","NC_004431.1 (612759..614012, complement)///NC_000913.3 (544057..545292, complement)"
0.999975947221547,0.155774886100104,-1.57689443080303,-4.58699297687856,-0.800175170313659,"znuA///znuA///znuA///znuA","high-affinity zinc transporter periplasmic component///high-affinity zinc transporter periplasmic protein///zinc ABC transporter periplasmic binding protein///high-affinity zinc transporter periplasmic protein","b1857","","","periplasmic space","NC_004431.1 (2093328..2094260, complement)///NC_002655.2 (2618690..2619622, complement)///NC_000913.3 (1941651..1942583, complement)///NC_002695.1 (2543482..2544414, complement)"
0.999975947221547,0.155928659552373,-1.57622198756135,-4.58700291834543,-1.30672527116163,"ytfT","putative sugar ABC transporter permease","b4230","","","organelle inner membrane///peptidoglycan-based cell wall","NC_000913.3 (4452571..4453596)"
0.999975947221547,0.157483334905002,-1.56945733579905,-4.58710292389117,-1.16696303152581,"Z1687","hypothetical protein","b1052","","","","NC_002655.2 (1558438..1558536, complement)"
0.999975947221547,0.157504055887838,-1.56936758839227,-4.58710425062363,-2.41081167536207,"yadD","hypothetical protein","c0162","","","","NC_004431.1 (157173..158117)"
0.999975947221547,0.157861886890724,-1.56781943851863,-4.58712713661532,-1.0735378640783,"xylA///xylA///xylA///ECs4448","xylose isomerase///xylose isomerase///D-xylose isomerase///xylose isomerase","b3565","","carbohydrate catabolic process///glucose metabolic process","cytoplasm","NC_004431.1 (4167076..4168398, complement)///NC_002655.2 (4542842..4544164, complement)///NC_000913.3 (3729443..3730765, complement)///NC_002695.1 (4475613..4476935, complement)"
0.999975947221547,0.159090683122941,-1.56252736545276,-4.58720536435575,-1.11126821361623,"gnd///gnd","6-phosphogluconate dehydrogenase///6-phosphogluconate dehydrogenase, decarboxylating","c2556","","carbohydrate catabolic process///pentose-phosphate shunt, non-oxidative branch///pentose-phosphate shunt, oxidative branch","","NC_004431.1 (2388005..2389411, complement)///NC_000913.3 (2099862..2101268, complement)"
0.999975947221547,0.159205861614332,-1.56203323944845,-4.58721266821441,-0.918604821200386,"yhbJ///yhbJ///yhbJ///ECs4084","hypothetical protein///hypothetical protein///adaptor protein for GlmZ/GlmY sRNA decay, glucosamine-6-phosphate-regulated; NTPase///hypothetical protein","b3205","","","","NC_004431.1 (3780608..3781462)///NC_002655.2 (4156684..4157538)///NC_000913.3 (3347115..3347969)///NC_002695.1 (4089468..4090322)"
0.999975947221547,0.159824919910681,1.55938299919222,-4.58725184129127,2.90403976187512,"Z1019///ECs0876","hypothetical protein///hypothetical protein","Z1019","","","","NC_002655.2 (956867..958879)///NC_002695.1 (955214..957226)"
0.999975947221547,0.160586877635134,-1.5561338188954,-4.58729986455304,-1.10539718398203,"c1375","hypothetical protein","c1375","","","","NC_004431.1 (1305085..1305255, complement)"
0.999975947221547,0.161137153227475,-1.55379603283187,-4.58733441528545,-1.40622367959257,"ybjM///ybjM///ybjM///ECs0928","hypothetical protein///hypothetical protein///inner membrane protein///hypothetical protein","b0848","","","","NC_004431.1 (944464..944841)///NC_002655.2 (1017035..1017412)///NC_000913.3 (890089..890466)///NC_002695.1 (1015376..1015753)"
0.999975947221547,0.16233443557868,-1.54873453168106,-4.58740921410096,-0.867467237759923,"beeE","pseudo","b1151","","","","NC_000913.3 (1205731..1206142)"
0.999975947221547,0.162828080935235,-1.54665753872371,-4.58743990513703,-1.77812937487784,"c3183","hypothetical protein","c3183","","","","NC_004431.1 (3051753..3051884, complement)"
0.999975947221547,0.163036504408749,1.54578232504297,-4.58745283736894,3.51862864784254,"escN///ECs4568","hypothetical protein///EscN","Z5119","","","","NC_002655.2 (4674677..4676017, complement)///NC_002695.1 (4605694..4607034, complement)"
0.999975947221547,0.164163512258105,-1.54106733665667,-4.58752250092072,-1.44204085171518,"c4434","hypothetical protein","c4434","","","","NC_004431.1 (4218443..4218706)"
0.999975947221547,0.164337237813171,1.54034315139218,-4.58753319983316,3.21505917898702,"Z4912///ECs4381","hypothetical protein///hypothetical protein","Z4912","","","","NC_002655.2 (4458949..4459233, complement)///NC_002695.1 (4391722..4391928, complement)"
0.999975947221547,0.165354988859894,1.53611451470268,-4.58759566763618,1.01204242584773,"ybcQ///quuD","lambdoid prophage DLP12 antitermination protein Q///DLP12 prophage; putative antitermination protein","b0551","","","","NC_004431.1 (1419420..1419818)///NC_000913.3 (573956..574339)"
0.999975947221547,0.165763098278074,1.53442550292847,-4.58762061622587,0.879918769959488,"cusB///ylcD///cusB///ECs0612","copper/silver efflux system membrane fusion protein CusB///copper/silver efflux system membrane fusion protein CusB///copper/silver efflux system, membrane fusion protein///copper/silver efflux system membrane fusion protein CusB","b0574","","response to drug","","NC_004431.1 (640975..642198)///NC_002655.2 (679796..681019)///NC_000913.3 (597479..598702)///NC_002695.1 (680014..681237)"
0.999975947221547,0.167103236013375,1.52890558749306,-4.58770214109985,0.693495128345665,"yiiT///yiiT///uspD///ECs4848","universal stress protein UspD///universal stress protein UspD///stress-induced protein///universal stress protein UspD","b3923","","response to stress","","NC_004431.1 (4632951..4633379)///NC_002655.2 (4982016..4982444)///NC_000913.3 (4113293..4113721)///NC_002695.1 (4913252..4913680)"
0.999975947221547,0.168476509183388,-1.5232906633436,-4.5877850515165,-1.20076348399738,"glpG///glpG///glpG///ECs4267","intramembrane serine protease GlpG///intramembrane serine protease GlpG///rhomboid intramembrane serine protease///intramembrane serine protease GlpG","b3424","","","","NC_004431.1 (3987247..3988077, complement)///NC_002655.2 (4340792..4341622, complement)///NC_000913.3 (3560622..3561452, complement)///NC_002695.1 (4273570..4274400, complement)"
0.999975947221547,0.168692016991589,-1.52241327866517,-4.58779800533135,-1.19937059122706,"hydG///hydG///zraR///ECs4927","transcriptional regulatory protein ZraR///transcriptional regulatory protein ZraR///fused DNA-binding response regulator in two-component regulatory system with ZraS: response regulator/sigma54 interaction protein///transcriptional regulatory protein ZraR","b4004","","fermentation","cytoplasm","NC_004431.1 (4734500..4735825)///NC_002655.2 (5080870..5082195)///NC_000913.3 (4203320..4204645)///NC_002695.1 (5012124..5013449)"
0.999975947221547,0.168850643074452,-1.52176812138776,-4.5878075302052,-0.781873881608895,"yffM","CPZ-55 prophage; uncharacterized protein","b2444","","","","NC_000913.3 (2561368..2561613)"
0.999975947221547,0.169228019590047,-1.5202354737459,-4.58783015661284,-1.34413485162069,"","","c4993","","","",""
0.999975947221547,0.169348398601575,-1.51974722638681,-4.58783736426892,-1.25828139596163,"kdgK","2-dehydro-3-deoxygluconokinase","c4338","","","","NC_004431.1 (4117795..4119072)"
0.999975947221547,0.169988462349211,1.51715644123297,-4.58787560760194,0.788993511578363,"c1824","hypothetical protein","c1824","","","","NC_004431.1 (1658595..1658930, complement)"
0.999975947221547,0.170782980618913,1.51395271319137,-4.58792289246665,3.01823883741971,"Z6036///Z1910///Z1812///Z1371///Z3320///ECs2242///ECs1981///ECs1550///ECs1801","tail assembly protein of cryptic prophage CP-933P///hypothetical protein///tail assembly chaperone encoded by prophage CP-933N///tail assembly chaperone encoded by cryptic prophage CP-933M///hypothetical protein///tail assembly chaperone///tail assembly chaperon///tail assembly chaperone///tail assembly chaperone","Z1910","","","","NC_002655.2 (2298839..2299261, complement)///NC_002655.2 (1732327..1732569)///NC_002655.2 (1657480..1657902)///NC_002655.2 (1283473..1283847)///NC_002655.2 (2979471..2979845, complement)///NC_002695.1 (2223556..2223930, complement)///NC_002695.1 (1957171..1957545)///NC_002695.1 (1571389..1571763)///NC_002695.1 (1789864..1790238)"
0.999975947221547,0.170903988031715,-1.51346595873999,-4.58793007600669,-3.08668059809893,"c4558","hypothetical protein","c4558","","","","NC_004431.1 (4330868..4331599, complement)"
0.999975947221547,0.171313559973837,-1.51182075568529,-4.58795435471887,-0.914171850412977,"c3943","hypothetical protein","c3943","","","","NC_004431.1 (3766437..3766562)"
0.999975947221547,0.172524302054589,1.50697803035824,-4.58802580855099,1.28495789032391,"ispB///ispB///ispB///ECs4066","octaprenyl diphosphate synthase///octaprenyl diphosphate synthase///octaprenyl diphosphate synthase///octaprenyl diphosphate synthase","b3187","","","","NC_004431.1 (3767198..3768169)///NC_002655.2 (4143278..4144249)///NC_000913.3 (3333710..3334681)///NC_002695.1 (4076062..4077033)"
